,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
3269,PARKER BARROWS,Routine,6/13/2019,80,338,DAVIS,,75208,338 W DAVIS ST,6/1/2019,FY2019,32.7493244,-96.8281679,Bar,4.4,2773
3270,PARKER UNIVERSITY,Routine,5/20/2019,84,2540,WALNUT HILL,S109,75229,2540 WALNUT HILL LN STE S109,5/1/2019,FY2019,32.8801761,-96.8926689,,,
3271,PARKIT MKT,Routine,11/6/2019,92,4724,GREENVILLE,#A,75206,4724 GREENVILLE AVE #A,11/1/2019,FY2020,32.8452963,-96.7693433,,,
3272,PARLIAMENT BAR,Routine,3/2/2019,92,2418,ALLEN,,75204,2418 ALLEN ST,3/1/2019,FY2019,32.7978449,-96.7984256,,,
3273,PARRISH EPISCOPAL-MAIN,Routine,9/9/2019,86,14115,HILLCREST,,75254,14115 HILLCREST RD,9/1/2019,FY2019,32.9409759,-96.7865865,,,
3274,PARSONS HOUSE PRESTON HOLLOW,Routine,9/9/2019,89,4205,NORTHWEST,,75220,4205 W NORTHWEST HWY,9/1/2019,FY2019,32.8645671,-96.8391618,,,
3275,PAST TIME LOUNGE,Routine,8/2/2018,96,1643,PINE,,75215,1643 PINE ST,8/1/2018,FY2018,32.752104,-96.766827,,,
3276,PASTELERIA COMONFORT,Routine,11/24/2018,94,3701,NORTHWEST,#190,75220,3701 W NORTHWEST HWY #190,11/1/2018,FY2019,32.8622738,-96.8573543,,,
3277,PASTELERIA LA ROCA,Routine,2/8/2019,91,3812,CLARENDON,,75211,3812 W CLARENDON,2/1/2019,FY2019,32.734446,-96.8836656,Restaurant,4.2,252
3278,PASTELERIA UNIVERSO,Routine,1/13/2019,89,9632,OVERLAKE,,75220,9632 OVERLAKE DR,1/1/2019,FY2019,32.8577382,-96.8705259,Restaurant,3.7,62
3279,PASTERERIA DEL NORTE,Routine,1/4/2019,95,2531,FORT WORTH,,75211,2531 FORT WORTH AVE,1/1/2019,FY2019,32.7588891,-96.864201,Restaurant,3.9,11
3280,PAUL MARTINS AMERICAN GRILL,Routine,8/28/2019,87,3848,OAK LAWN,#210,75219,3848 OAK LAWN AVE #210,8/1/2019,FY2019,32.8150283,-96.8018189,Restaurant,4.4,580
3281,PAUL'S EXXON,Routine,1/10/2019,98,2052,FORT WORTH,,75208,2052 FORT WORTH AVE,1/1/2019,FY2019,32.7620452,-96.8561587,,,
3282,PAUL'S SHOP N GO,Routine,11/11/2019,80,1909,CESAR CHAVEZ,,75215,1909 S CESAR CHAVEZ BLVD,11/1/2019,FY2020,32.7727755,-96.7830768,,,
3283,PAULS FOOD & FUEL MART,Routine,10/11/2019,92,11115,GARLAND,,75218,11115 GARLAND RD,10/1/2019,FY2020,32.8475935,-96.6860091,Restaurant,4,58
3284,PAVILLION CAFE,Routine,12/19/2019,100,2350,STEMMONS,2 FL,75235,2350 N STEMMONS FRWY 2 FL,12/1/2019,FY2020,32.8063638,-96.8359442,,,
3285,PAYLESS BEER & WINE,Routine,10/23/2018,100,6930,HARRY HINES,,75235,6930 HARRY HINES BLVD,10/1/2018,FY2019,32.8261329,-96.8542628,,,
3286,PAYLESS CONVENIENCE,Routine,6/19/2019,97,1000,RIVERFRONT,,75207,1000 N RIVERFRONT BLVD,6/1/2019,FY2019,32.78655,-96.817302,Restaurant,4.4,96
3287,PAYLESS CONVENIENCE,Routine,3/26/2019,80,205,CARROLL,,75246,205 N CARROLL AVE,3/1/2019,FY2019,32.7922363,-96.7686159,Restaurant,4.6,468
3288,PAYLESS FOOD & BEER WINE,Routine,3/1/2019,98,5620,LBJ,#300,75240,5620 LBJ FRWY #300,3/1/2019,FY2019,32.9251962,-96.8108596,,,
3289,PAYLESS FOOD & BEER WINE,Routine,2/1/2019,91,3249,DAWES,,75211,3249 DAWES DR,2/1/2019,FY2019,32.7273625,-96.8739283,,,
3290,PAZZO,Routine,6/21/2018,80,2680,CEDAR SPRINGS,,75204,2680 CEDAR SPRINGS RD,6/1/2018,FY2018,32.8005888,-96.8052178,,,
3291,PEABERRY COFFEE,Routine,3/8/2019,100,2446,KIEST,,75233,2446 W KIEST BLVD,3/1/2019,FY2019,32.7053292,-96.8577575,,,
3292,PEACHTREE FOOD,Routine,9/12/2018,80,11111,WALNUT HILL,#101,75238,11111 WALNUT HILL LN #101,9/1/2018,FY2018,32.8792786,-96.6904891,,,
3293,PEAK & ELM COCINA,Routine,10/16/2018,86,132,PEAK,,75226,132 N PEAK ST,10/1/2018,FY2019,32.7908211,-96.7697032,,,
3294,PEAK FOOD MART,Routine,1/15/2019,100,700,PEAK,,75223,700 S PEAK ST,1/1/2019,FY2019,32.7869891,-96.7650129,Restaurant,3.8,114
3295,PEARL CUP COFFEE,Routine,4/11/2019,90,7865,FIREFALL,#F180,75230,7865 FIREFALL WAY #F180,4/1/2019,FY2019,32.8821527,-96.7711593,Restaurant,4.4,22
3296,PECAN LODGE,Routine,7/18/2019,93,2702,MAIN,,75226,2702 MAIN ST,7/1/2019,FY2019,32.7836237,-96.7838308,Meal_Takeaway,4.7,1196
3297,PECAN ROOM & TAVERN,Routine,1/31/2019,98,3819,MAPLE,,75219,3819 MAPLE AVE,1/1/2019,FY2019,32.8043848,-96.8160938,,,
