,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
10,538,BILLY CAN CAN,Routine,11/28/2018,81,2386,VICTORY PARK,,75219,2386 VICTORY PARK LN,11/1/18,FY2019,32.7871597,-96.8093665,Restaurant,4.5,304
11,640,LIQUID ZOO SPORTS & CIGAR BAR,Routine,05/21/2019,94,2506,KNIGHT,,75219,2506 KNIGHT ST,05/1/19,FY2019,32.8075252,-96.8171321,Night_Club,4.4,223
12,645,ACCENT FOOD SERVICES,Routine,11/07/2018,97,3090,OLIVE,#400,75219,3090 OLIVE ST #400,11/1/18,FY2019,32.7893627,-96.8098967,Restaurant,4.5,407
13,733,KFC,Routine,05/15/2019,95,4303,LEMMON,,75219,4303 LEMMON AVE,05/1/19,FY2019,32.8167383,-96.81188329999999,Restaurant,3.6,407
14,737,CHOCOLATE SECRETS,Routine,07/27/2017,98,3926,OAK LAWN,,75219,3926 OAK LAWN AVE,07/1/17,FY2017,32.81709710000001,-96.80210640000001,Night_Club,4.7,441
15,740,BUZZBREWS,Routine,06/11/2019,84,2300,VICTORY PARK,,75219,2300 VICTORY PARK LN,06/1/19,FY2019,32.785512,-96.8093572,Bar,4.7,427
16,744,IMOTO-1ST FLOOR,Follow-up,06/11/2019,96,2400,VICTORY PARK,,75219,2400 VICTORY PARK LN,06/1/19,FY2019,32.7874876,-96.8091175,Restaurant,4.6,160
17,756,ROOTS PRESSED JUICES,Routine,07/11/2018,97,3527,OAK LAWN,,75219,3527 OAK LAWN AVE,07/1/18,FY2018,32.8126798,-96.805104,Restaurant,4,60
18,829,JACK IN THE BOX,Routine,06/12/2019,88,4402,MAPLE,,75219,4402 MAPLE AVE,06/1/19,FY2019,32.8106217,-96.8211348,Restaurant,3.7,694
19,849,JR'S BAR,Routine,01/31/2017,97,3923,CEDAR SPRINGS,,75219,3923 CEDAR SPRINGS RD,01/1/17,FY2017,32.8108039,-96.81128679999999,Restaurant,3.4,159
20,878,HERO BY HG SUPPLY,Routine,05/31/2019,75,3090,OLIVE,#B100,75219,3090 OLIVE ST #B100,05/1/19,FY2019,32.7893627,-96.8098967,Restaurant,4.5,407
21,927,GREEN PAPAYA,Follow-up,05/29/2019,83,3211,OAK LAWN,#B,75219,3211 OAK LAWN AVE #B,05/1/19,FY2019,32.810312,-96.8083284,Restaurant,4.4,277
22,929,EAST HAMPTON SANDWICH CO,Routine,05/21/2019,86,3888,OAK LAWN,#100,75219,3888 OAK LAWN AVE #100,05/1/19,FY2019,32.8159746,-96.8013608,,,
23,952,CHEF HOUSE RESTAURANT,Routine,05/30/2019,93,4028,CEDAR SPRINGS,,75219,4028 CEDAR SPRINGS RD,05/1/19,FY2019,32.8118301,-96.81164299999999,Meal_Delivery,3.4,154
24,974,TACOS Y MAS,Routine,05/23/2019,88,4123,CEDAR SPRINGS,105,75219,4123 CEDAR SPRINGS RD 105,05/1/19,FY2019,32.811475,-96.81285849999999,Meal_Delivery,4.2,237
