Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
LISA'S SOUL FOOD CAFE,Routine,09/24/2019,85,2550,RED BIRD,#404,75237,2550 W RED BIRD LN #404,09/1/19,FY2019
EGYPTIAN RESTAURANT,Routine,09/11/2019,94,5610,MOCKINGBIRD,,75206,5610 E MOCKINGBIRD LN,09/1/19,FY2019
CAFE MTV,Routine,09/19/2019,91,10560,WALNUT,#800,75243,10560 WALNUT ST #800,09/1/19,FY2019
PENNE POMODORO,Routine,09/16/2019,98,1924,ABRAMS,,75214,1924 ABRAMS PKWY,09/1/19,FY2019
WENDY'S,Routine,10/09/2019,86,5215,SPRING VALLEY,,75240,5215 SPRING VALLEY RD,10/1/19,FY2020
EL POLLO REGIO,Routine,09/26/2019,82,2410,ILLINOIS,,75233,2410 W ILLINOIS AVE,09/1/19,FY2019
ZIZIKI'S,Routine,09/18/2019,85,11661,PRESTON,#309,75230,11661 PRESTON RD #309,09/1/19,FY2019
UCHI DALLAS,Routine,09/19/2019,88,2817,MAPLE,#110,75201,2817 MAPLE AVE #110,09/1/19,FY2019
CRISPY CHICKEN AND RICE,Routine,09/28/2019,82,3446,WEBB CHAPEL,,75220,3446 WEBB CHAPEL EXT,09/1/19,FY2019
KFC,Routine,09/05/2019,90,2407,DAVIS,,75211,2407 W DAVIS ST,09/1/19,FY2019
HEALTHSOUTH REHABILITATION HOSPITAL OF DALLAS,Routine,09/16/2019,95,7930,NORTHAVEN,,75230,7930 NORTHAVEN RD,09/1/19,FY2019
BILLARDS 45,Routine,09/27/2019,86,2005,BECKLEY,,75224,2005 S BECKLEY AVE,09/1/19,FY2019
UPTOWN TAVERN & WINE BAR,Routine,09/12/2019,84,3605,MCKINNEY,,75204,3605 MCKINNEY AVE,09/1/19,FY2019
MESO MAYA,Routine,09/17/2019,90,4123,ABRAMS,,75214,4123 ABRAMS RD,09/1/19,FY2019
LA CUISINE CAFE,Routine,09/17/2019,89,9201,CENTRAL,#180,75231,9201 N CENTRAL EXPW #180,09/1/19,FY2019
TACOS Y TORTAS EL CACHETON,Routine,09/26/2019,88,1050,WESTMORELAND,#429,75211,1050 N WESTMORELAND RD #429,09/1/19,FY2019
BARCADIA,Routine,09/16/2019,97,1917,HENDERSON,,75224,1917 N HENDERSON,09/1/19,FY2019
KFC,Routine,09/25/2019,90,106,ILLINOIS,,75224,106 W ILLINOIS AVE,09/1/19,FY2019
PARK LANE AREBA GROCERY,Routine,10/03/2019,95,6882,SHADY BROOK,,75231,6882 SHADY BROOK LN,10/1/19,FY2020
LOS CHAPULINES,Routine,09/17/2019,96,515,CARROLL,#B,75246,515 N CARROLL AVE #B,09/1/19,FY2019
PEI WEI ASIAN DINER,Routine,09/23/2019,84,3001,KNOX,#100,75205,3001 KNOX ST #100,09/1/19,FY2019
KLIFF CLUB KITCHEN,Routine,09/13/2019,80,5250,SINGING HILLS,,75241,5250 SINGING HILLS DR,09/1/19,FY2019
SONIC DRIVE-IN,Routine,09/25/2019,80,2960,WHEATLAND,,75237,2960 W WHEATLAND RD,09/1/19,FY2019
THE CORNER DONUT,Routine,10/09/2019,95,2825,LIVE OAK,,75204,2825 LIVE OAK ST,10/1/19,FY2020
AIN,Routine,09/24/2019,95,2600,STEMMONS,#160,75207,2600 N STEMMONS FRWY #160,09/1/19,FY2019
SI LOM THAI ASIAN FUSION,Routine,09/16/2019,87,3300,OAK LAWN,#110,75219,3300 OAK LAWN AVE #110,09/1/19,FY2019
MALARKEY'S,Routine,09/16/2019,83,4460,TRINITY MILLS,100,75287,4460 TRINITY MILLS RD 100,09/1/19,FY2019
CARILLON CAFE,Routine,10/02/2019,88,13601,PRESTON,#C-17,75240,13601 PRESTON RD #C-17,10/1/19,FY2020
ST PETE'S DANCING MARLIN,Routine,09/16/2019,85,2730,COMMERCE,,75226,2730 COMMERCE ST,09/1/19,FY2019
DONUT HOUSE,Routine,10/07/2019,81,6939,GREENVILLE,#A,75206,6939 GREENVILLE AVE #A,10/1/19,FY2020
VIRGINIA'S,Routine,09/20/2019,86,923,HAMPTON,,75208,923 S HAMPTON RD,09/1/19,FY2019
TACO CASA,Routine,09/17/2019,80,12950,COIT,#B,75251,12950 COIT RD #B,09/1/19,FY2019
MR. SUGAR RUSH,Routine,07/02/2018,98,510,REGAL,,75247,510 REGAL ROW,07/1/18,FY2018
