restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
EL MOLCAJETAZO RESTAURANT,Routine,12/23/2019,84,11055,DENNIS,#20,75229,1201 W CAMP WISDOM RD,Dec 2019,FY2020,32.898751,-96.881375,
EL MOLCAJETAZO RESTAURANT,Routine,06/03/2019,80,11055,DENNIS,#20,75229,12050 INWOOD RD #110,Jun 2019,FY2019,32.898751,-96.881375,
EL MOLCAJETE,Routine,08/14/2019,86,2306,BUCKNER,,75227,4211 EAST SIDE AVE #D,Aug 2019,FY2019,32.752668,-96.682801,
EL MOLCAJETE,Routine,02/14/2019,83,2306,BUCKNER,,75227,4212 E GRAND AVE,Feb 2019,FY2019,32.752668,-96.682801,
EL NORTENO,Routine,09/18/2019,82,306,SANER,,75216,8221 N CENTRAL EXPW,Sep 2019,FY2019,32.71314,-96.82024,
EL PAISA,Routine,12/16/2019,80,10844,HARRY HINES,,75220,11711 E NORTHWEST HWY,Dec 2019,FY2020,32.875615,-96.884086,
EL PAISA,Routine,11/14/2019,74,10844,HARRY HINES,,75220,11716 FERGUSON RD,Nov 2019,FY2020,32.875615,-96.884086,
EL PAISA,Routine,04/01/2019,89,10844,HARRY HINES,,75220,11717 N CENTRAL EXPW,Apr 2019,FY2019,32.875615,-96.884086,
EL PAISA COCINA,Routine,12/12/2019,81,2574,WALNUT HILL,,75229,5525 W ILLINOIS AVE,Dec 2019,FY2020,32.880995,-96.89119,
EL PAISA COCINA,Routine,10/22/2019,92,10091,HARRY HINES,,75220,1023 S HAMPTON RD,Oct 2019,FY2020,32.860166,-96.880842,
EL PAISA COCINA,Routine,05/02/2019,83,2574,WALNUT HILL,,75229,5526 E RL THORNTON FRWY,May 2019,FY2019,32.880995,-96.89119,
EL PAISA COCINA,Routine,04/02/2019,92,10091,HARRY HINES,,75220,10230 E NORTHWEST HWY,Apr 2019,FY2019,32.860166,-96.880842,
