restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
COTTON BOWL STAND #3,Routine,03/05/2019,100,0,FAIR PARK,,75226,0 FAIR PARK,Mar 2019,FY2019,0,0
CHARCO BROILER STEAK #2,Routine,11/21/2019,80,413,JEFFERSON,,75208,413 W JEFFERSON BLVD,Nov 2019,FY2020,32.743197, -96.828949
TIME SAVER FOOD MART,Follow-up,12/02/2019,81,4418,MARSALIS,,75216,4418 S MARSALIS AVE,Dec 2019,FY2020,32.690742, -96.81459
SUBWAY SANDWICHES,Routine,12/03/2019,96,3612,FOREST,#A,75229,3612 FOREST LN #A,Dec 2019,FY2020,32.909489, -96.858727
ARAMARK AT METHODIST - SPECIALS KITCHEN,Routine,03/19/2019,99,1441,BECKLEY,,75208,1441 N BECKLEY AVE,Mar 2019,FY2019,32.616966, -96.823427
U STOP FUEL,Routine,11/07/2019,87,1909,JEFFERSON,,75208,1909 W JEFFERSON BLVD,Nov 2019,FY2020,32.746391, -96.850581
MCDONALD'S,Routine,12/03/2019,91,2551,GUS THOMASSON,,75228,2551 GUS THOMASSON RD,Dec 2019,FY2020,32.834876, -96.671466
JUICE BOX,Routine,12/12/2019,90,8687,CENTRAL,#2372,75225,8687 N CENTRAL EXPW #2372,Dec 2019,FY2020,32.869358, -96.770707
ARIF CAFE,Routine,12/04/2019,92,8367,PARK,,75231,8367 PARK LN,Dec 2019,FY2020,32.871072, -96.760502
HIGHLAND DALLAS - KNIFE,Routine,07/25/2019,100,5300,MOCKINGBIRD,,75206,5300 E MOCKINGBIRD LN,Jul 2019,FY2019,32.836527, -96.777896
BURGER FI,Routine,12/02/2019,84,5456,MOCKINGBIRD,#100,75206,5456 E MOCKINGBIRD LN #100,Dec 2019,FY2020,38.701293, -85.672351
METHOD COFFEE,Routine,12/09/2019,90,1623,HALL,#101,75204,1623 N HALL ST #101,Dec 2019,FY2020,32.795244, -96.788911
KONA GRILL,Routine,12/11/2019,86,8687,CENTRAL,#1722,75225,8687 N CENTRAL EXPW #1722,Dec 2019,FY2020,32.869358, -96.770707
PINKSTON HIGH SCHOOL,Routine,11/18/2019,96,2200,DENNISON,,75212,2200 DENNISON ST,Nov 2019,FY2020,34.728679, -92.299679
